Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
162,7.8875,8.8000,-1.440066,7.8875,5.00
163,7.6750,8.8000,-1.592481,7.6750,7.50
164,7.6625,8.8000,-1.723396,7.6625,2.50
165,7.6375,8.8000,-1.505784,7.6375,2.50
166,7.4250,8.8000,-1.592690,7.4250,5.00
167,8.4375,8.8000,-1.674765,8.4375,2.50
168,7.8125,8.8000,-1.896683,7.8125,0.00
169,7.8125,8.8000,-1.573534,7.8125,2.50
170,7.4375,8.8000,-1.648891,7.4375,5.00
171,8.1750,8.8000,-1.659996,8.1750,5.00
172,8.1250,8.8000,-1.903260,8.1250,2.50
173,7.2500,8.8000,-1.356249,7.2500,12.50
174,7.5875,8.8000,-1.171180,7.5875,7.50
175,7.9125,8.8000,-1.751747,7.9125,10.00
176,7.9875,8.8000,-1.677436,7.9875,7.50
177,7.2375,8.8000,-1.704059,7.2375,15.00
178,8.1000,8.8000,-1.510018,8.1000,0.00
179,8.3125,8.8000,-1.659592,8.3125,2.50
180,7.9500,8.8000,-1.364930,7.9500,5.00
181,7.5625,8.8000,-1.253070,7.5625,12.50
182,8.5625,8.8000,-1.472553,8.5625,5.00
183,8.4250,8.8000,-1.447889,8.4250,5.00
184,8.5000,8.8000,-1.370397,8.5000,2.50
185,8.0125,8.8000,-1.395467,8.0125,10.00
186,8.5750,8.8000,-1.362995,8.5750,5.00
187,7.4750,8.8000,-1.219158,7.4750,10.00
188,8.3625,8.8000,-0.814487,8.3625,7.50
189,8.3625,8.8000,-1.354158,8.3625,5.00
190,7.7000,8.8000,-1.586391,7.7000,7.50
191,7.6000,8.8000,-1.429253,7.6000,0.00
192,8.6375,8.8000,-1.390866,8.6375,2.50
193,8.5500,8.8000,-0.789454,8.5500,0.00
194,7.5375,8.8000,-1.173970,7.5375,10.00
195,8.2750,8.8000,-1.214943,8.2750,5.00
196,8.9375,8.9375,-1.114104,8.9375,5.00
197,8.8750,8.9375,-1.036576,8.8750,7.50
198,8.2125,8.9375,-1.128428,8.2125,12.50
199,7.9625,8.9375,-1.332081,7.9625,7.50
200,8.6500,8.9375,-1.393712,8.6500,5.00
201,8.2375,8.9375,-1.182884,8.2375,7.50
202,8.1500,8.9375,-1.361550,8.1500,7.50
203,7.8125,8.9375,-1.397268,7.8125,5.00
204,8.8500,8.9375,-1.319829,8.8500,0.00
205,8.3000,8.9375,-1.149412,8.3000,5.00
206,7.3375,8.9375,-1.540701,7.3375,7.50
207,7.6125,8.9375,-1.274192,7.6125,12.50
208,8.0875,8.9375,-1.307433,8.0875,7.50
209,7.9500,8.9375,-1.261341,7.9500,10.00
210,8.0875,8.9375,-1.363288,8.0875,10.00
211,7.9500,8.9375,-1.217055,7.9500,12.50
212,8.3750,8.9375,-1.233201,8.3750,2.50
213,7.4250,8.9375,-1.349174,7.4250,10.00
214,7.8500,8.9375,-1.635366,7.8500,5.00
215,8.2500,8.9375,-1.339944,8.2500,5.00
216,8.0500,8.9375,-1.327449,8.0500,12.50
217,8.2250,8.9375,-1.660137,8.2250,5.00
218,8.3875,8.9375,-1.644256,8.3875,5.00
219,8.2875,8.9375,-1.388857,8.2875,5.00
220,8.4875,8.9375,-1.414448,8.4875,7.50
221,8.4500,8.9375,-1.440058,8.4500,5.00
222,8.4000,8.9375,-1.605939,8.4000,10.00
223,8.6750,8.9375,-1.533241,8.6750,5.00
224,9.0250,9.0250,-1.692435,9.0250,2.50
225,8.0875,9.0250,-1.761219,8.0875,10.00
226,8.5250,9.0250,-1.921374,8.5250,0.00
227,8.1375,9.0250,-1.744674,8.1375,10.00
228,8.4625,9.0250,-1.805026,8.4625,2.50
229,7.9625,9.0250,-1.765783,7.9625,10.00
230,8.4625,9.0250,-1.808334,8.4625,10.00
231,7.8875,9.0250,-1.863120,7.8875,5.00
232,7.5125,9.0250,-2.012814,7.5125,0.00
