Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
209,7.0500,8.2750,1.840869,3.3000,7.50
210,7.0375,8.2750,2.132303,0.7875,12.50
211,7.3750,8.2750,1.016666,4.8750,5.00
212,6.5875,8.2750,0.669491,0.3375,12.50
213,7.5000,8.2750,1.951085,3.7500,7.50
214,7.4250,8.2750,1.863698,2.4250,10.00
215,6.9500,8.2750,2.251053,0.7000,12.50
216,7.3500,8.2750,0.357871,4.8500,5.00
217,6.8000,8.2750,1.608910,0.5500,12.50
218,7.3875,8.2750,1.934810,1.1375,12.50
219,6.7875,8.2750,1.671232,1.7875,10.00
220,7.5250,8.2750,2.311447,1.2750,12.50
221,7.5250,8.2750,1.867960,3.7750,7.50
222,7.2500,8.2750,4.264877,2.2500,10.00
223,6.9250,8.2750,0.358011,-1.8250,17.50
224,7.1000,8.2750,1.888124,-1.6500,17.50
225,7.9500,8.2750,2.137886,2.9500,10.00
226,7.5500,8.2750,1.826503,2.5500,10.00
227,6.6000,8.2750,2.862056,-4.6500,22.50
228,7.4375,8.2750,3.038728,-0.0625,15.00
229,6.5000,8.2750,1.762312,-3.5000,20.00
230,7.4000,8.2750,2.128317,1.1500,12.50
231,7.6250,8.2750,2.693539,3.8750,7.50
232,7.9625,8.2750,1.510516,4.2125,7.50
233,7.6625,8.2750,2.781263,5.1625,5.00
234,6.7875,8.2750,2.287983,3.0375,7.50
235,7.3250,8.2750,2.838635,4.8250,5.00
236,7.0000,8.2750,1.599173,4.5000,5.00
237,7.7375,8.2750,2.106606,3.9875,7.50
238,6.9250,8.2750,1.135825,6.9250,0.00
239,7.2875,8.2750,1.843239,6.0375,2.50
240,7.2000,8.2750,2.716309,3.4500,7.50
241,6.4875,8.2750,1.218913,1.4875,10.00
242,8.1750,8.2750,2.011127,5.6750,5.00
243,6.6000,8.2750,1.062397,5.3500,2.50
244,7.7250,8.2750,-0.037965,5.2250,5.00
245,7.6875,8.2750,0.640981,3.9375,7.50
246,7.5250,8.2750,1.857038,7.5250,0.00
247,7.2250,8.2750,1.111847,3.4750,7.50
248,7.3000,8.2750,2.193404,3.5500,7.50
249,7.2500,8.2750,0.450331,3.5000,7.50
250,7.9875,8.2750,2.293498,5.4875,5.00
251,7.8125,8.2750,1.647921,5.3125,5.00
