Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
143,6.5875,7.1375,0.124910,6.5875,12.50
144,6.7625,7.1375,0.310080,6.7625,7.50
145,6.9125,7.1375,0.228002,6.9125,5.00
146,6.9000,7.1375,0.512174,6.9000,2.50
147,7.0625,7.1375,0.734913,7.0625,0.00
148,6.5250,7.1375,0.341748,6.5250,0.00
149,6.6375,7.1375,-0.103409,6.6375,5.00
150,6.9750,7.1375,0.172604,6.9750,2.50
151,7.1625,7.1625,1.512566,7.1625,0.00
152,5.8250,7.1625,1.153408,5.8250,7.50
153,6.3375,7.1625,0.464819,6.3375,5.00
154,6.0875,7.1625,0.625908,6.0875,5.00
155,6.6750,7.1625,0.667020,6.6750,7.50
156,6.1625,7.1625,1.431877,6.1625,2.50
157,6.5625,7.1625,0.585149,6.5625,2.50
158,7.1750,7.1750,-0.113233,7.1750,0.00
159,6.2750,7.1750,-0.144389,6.2750,5.00
160,6.4750,7.1750,0.819830,6.4750,7.50
161,6.6125,7.1750,0.199083,6.6125,5.00
162,7.2750,7.2750,1.907569,7.2750,5.00
163,6.8125,7.2750,0.399431,6.8125,5.00
164,7.2500,7.2750,1.043500,7.2500,5.00
165,7.6000,7.6000,1.493416,7.6000,5.00
166,6.8250,7.6000,0.231532,6.8250,5.00
167,6.6125,7.6000,0.830868,6.6125,7.50
168,6.9375,7.6000,0.081669,6.9375,10.00
169,6.5875,7.6000,2.039559,6.5875,7.50
170,7.3000,7.6000,1.672859,7.3000,5.00
171,7.0000,7.6000,1.697745,7.0000,2.50
172,7.2500,7.6000,1.775580,7.2500,7.50
173,6.1250,7.6000,1.861466,6.1250,10.00
174,5.7000,7.6000,0.438938,5.7000,7.50
175,6.5625,7.6000,1.421924,6.5625,2.50
176,7.5500,7.6000,1.507792,7.5500,7.50
177,6.9875,7.6000,1.601732,6.9875,7.50
178,7.1750,7.6000,2.411925,7.1750,10.00
179,7.1750,7.6000,1.318245,7.1750,2.50
180,6.8875,7.6000,2.020813,6.8875,7.50
181,6.7750,7.6000,1.544335,6.7750,10.00
182,7.2500,7.6000,0.780410,7.2500,7.50
183,7.1750,7.6000,0.824687,7.1750,5.00
184,6.5500,7.6000,1.596567,6.5500,7.50
185,5.6375,7.6000,0.035896,5.6375,10.00
186,7.4250,7.6000,2.193020,7.4250,12.50
187,6.6750,7.6000,2.828105,6.6750,7.50
188,7.0625,7.6000,3.326185,7.0625,12.50
189,6.5000,7.6000,1.664688,6.5000,5.00
190,7.9250,7.9250,2.966908,7.9250,7.50
191,6.3125,7.9250,0.589752,6.3125,7.50
192,6.4125,7.9250,1.990975,6.4125,12.50
193,7.2625,7.9250,1.765351,7.2625,5.00
194,6.9250,7.9250,0.970412,6.9250,10.00
195,7.5000,7.9250,2.302581,7.5000,17.50
196,8.0875,8.0875,1.449753,8.0875,2.50
197,7.4125,8.0875,0.441786,7.4125,5.00
198,7.2875,8.0875,2.556176,7.2875,5.00
199,6.8250,8.0875,1.678506,6.8250,7.50
200,7.6250,8.0875,1.506045,7.6250,7.50
201,6.7625,8.0875,3.610919,6.7625,12.50
202,6.7250,8.0875,2.491061,6.7250,15.00
203,7.7125,8.0875,3.250193,7.7125,7.50
204,7.2125,8.0875,2.873872,7.2125,17.50
205,6.6375,8.0875,1.223929,6.6375,12.50
206,6.0000,8.0875,1.216631,6.0000,20.00
207,6.6000,8.0875,1.349236,6.6000,12.50
208,6.4750,8.0875,2.058229,6.4750,25.00
209,6.8375,8.0875,3.086769,6.8375,25.00
210,7.0000,8.0875,4.196225,7.0000,12.50
211,6.5750,8.0875,3.662134,6.5750,15.00
212,7.0375,8.0875,4.472157,7.0375,25.00
213,6.8750,8.0875,2.956132,6.8750,22.50
214,7.8000,8.0875,2.924817,7.8000,17.50
215,7.4750,8.0875,2.720489,7.4750,10.00
216,7.0000,8.0875,3.144627,7.0000,22.50
217,6.9750,8.0875,1.598019,6.9750,15.00
218,6.7125,8.0875,2.303498,6.7125,22.50
219,6.7500,8.0875,5.081336,6.7500,25.00
220,7.9875,8.0875,3.639548,7.9875,20.00
221,5.8000,8.0875,3.210848,5.8000,27.50
222,6.5000,8.0875,3.920518,6.5000,20.00
223,6.4875,8.0875,4.825368,6.4875,25.00
224,6.8625,8.0875,4.252075,6.8625,17.50
225,6.9000,8.0875,3.935012,6.9000,15.00
226,6.4250,8.0875,3.123052,6.4250,20.00
227,7.0875,8.0875,4.056540,7.0875,22.50
228,6.0000,8.0875,4.185326,6.0000,30.00
229,6.7000,8.0875,4.098355,6.7000,22.50
230,6.9125,8.0875,3.972182,6.9125,30.00
231,6.8000,8.0875,4.289022,6.8000,20.00
232,6.3500,8.0875,4.342126,6.3500,22.50
233,6.8625,8.0875,3.052809,6.8625,25.00
234,6.4500,8.0875,4.689629,6.4500,32.50
235,7.2750,8.0875,3.357411,7.2750,27.50
236,6.7625,8.0875,3.683090,6.7625,22.50
237,6.7250,8.0875,4.385065,6.7250,22.50
238,5.3625,8.0875,3.926381,5.3625,25.00
239,7.5250,8.0875,4.444070,7.5250,12.50
240,6.3250,8.0875,3.622305,6.3250,30.00
241,5.7125,8.0875,0.964611,5.7125,22.50
242,7.2000,8.0875,2.558379,7.2000,22.50
243,6.9750,8.0875,3.048980,6.9750,22.50
244,6.0500,8.0875,3.195928,6.0500,25.00
245,7.2875,8.0875,4.158058,7.2875,22.50
246,7.4125,8.0875,3.320418,7.4125,25.00
247,6.1250,8.0875,2.666126,6.1250,20.00
248,7.0000,8.0875,2.388844,7.0000,12.50
249,6.4375,8.0875,3.882072,6.4375,30.00
250,7.4750,8.0875,3.425266,7.4750,27.50
251,7.7000,8.0875,2.416731,7.7000,12.50
252,7.2625,8.0875,2.679686,7.2625,17.50
253,7.5125,8.0875,2.240685,7.5125,12.50
254,7.4625,8.0875,3.722707,7.4625,25.00
255,6.5000,8.0875,1.307678,6.5000,20.00
256,7.0750,8.0875,3.812030,7.0750,10.00
257,7.5500,8.0875,2.419096,7.5500,17.50
258,7.3875,8.0875,1.580713,7.3875,12.50
259,7.1000,8.0875,2.173170,7.1000,22.50
260,7.6500,8.0875,2.743352,7.6500,20.00
261,6.7875,8.0875,1.680166,6.7875,17.50
262,7.1750,8.0875,1.693029,7.1750,20.00
263,7.3375,8.0875,1.892921,7.3375,12.50
264,7.8875,8.0875,2.615446,7.8875,10.00
265,7.1750,8.0875,1.430146,7.1750,12.50
266,7.5750,8.0875,2.691893,7.5750,17.50
267,7.4000,8.0875,0.189118,7.4000,15.00
268,6.9000,8.0875,3.311186,6.9000,25.00
269,7.2500,8.0875,4.463618,7.2500,27.50
270,6.7750,8.0875,4.193327,6.7750,35.00
271,5.8625,8.0875,2.252528,5.8625,22.50
272,7.1750,8.0875,3.015197,7.1750,27.50
273,6.0750,8.0875,3.676120,6.0750,32.50
274,5.5750,8.0875,3.839451,5.5750,40.00
275,6.5500,8.0875,4.200951,6.5500,37.50
276,6.2750,8.0875,5.474785,6.2750,40.00
277,5.3500,8.0875,3.337964,5.3500,30.00
278,6.5500,8.0875,4.554447,6.5500,37.50
279,7.5250,8.0875,5.357732,7.5250,30.00
280,6.6250,8.0875,5.744504,6.6250,30.00
281,7.0750,8.0875,3.997325,7.0750,32.50
282,6.4625,8.0875,1.936215,6.4625,30.00
283,6.9750,8.0875,3.728209,6.9750,22.50
284,6.5750,8.0875,3.478257,6.5750,30.00
285,6.8500,8.0875,4.037470,6.8500,27.50
286,6.0000,8.0875,3.226151,6.0000,27.50
287,7.7500,8.0875,3.831988,7.7500,25.00
288,7.3375,8.0875,3.674605,7.3375,27.50
289,6.3625,8.0875,2.636433,6.3625,37.50
290,7.2625,8.0875,4.022111,7.2625,22.50
291,7.1250,8.0875,4.548621,7.1250,32.50
292,7.5250,8.0875,2.259840,7.5250,27.50
293,7.5000,8.0875,4.220607,7.5000,25.00
294,7.5625,8.0875,3.424133,7.5625,25.00
295,7.3625,8.0875,4.745407,7.3625,22.50
296,7.7500,8.0875,2.978060,7.7500,15.00
297,7.8250,8.0875,4.749812,7.8250,20.00
298,7.0000,8.0875,3.412459,7.0000,35.00
299,7.2750,8.0875,3.321239,7.2750,30.00
300,7.3750,8.0875,4.560960,7.3750,27.50
301,8.4000,8.4000,3.733527,8.4000,17.50
302,7.3250,8.4000,3.493906,7.3250,27.50
303,6.7000,8.4000,1.519399,6.7000,30.00
304,7.6000,8.4000,1.962749,7.6000,15.00
305,7.8000,8.4000,3.850676,7.8000,30.00
306,7.8500,8.4000,1.282925,7.8500,20.00
307,7.3000,8.4000,4.431911,7.3000,27.50
308,8.0000,8.4000,2.014611,8.0000,20.00
309,7.9500,8.4000,3.043203,7.9500,20.00
310,7.0750,8.4000,3.331401,7.0750,25.00
311,8.2000,8.4000,3.035346,8.2000,15.00
312,7.6000,8.4000,2.127461,7.6000,15.00
313,7.7250,8.4000,3.175783,7.7250,25.00
314,7.9500,8.4000,4.048501,7.9500,25.00
315,7.3250,8.4000,3.037511,7.3250,25.00
316,7.6375,8.4000,1.796607,7.6375,25.00
317,7.6750,8.4000,4.011735,7.6750,27.50
318,7.4750,8.4000,3.637778,7.4750,22.50
319,7.9625,8.4000,3.512312,7.9625,22.50
320,7.5500,8.4000,1.554765,7.5500,32.50
321,7.7500,8.4000,2.759249,7.7500,17.50
322,8.2250,8.4000,1.863166,8.2250,17.50
323,6.9125,8.4000,2.761453,6.9125,27.50
324,7.7750,8.4000,3.284281,7.7750,25.00
325,8.4250,8.4250,4.094387,8.4250,15.00
326,8.2750,8.4250,2.211537,8.2750,27.50
327,8.1750,8.4250,2.093831,8.1750,30.00
328,7.4500,8.4250,1.319046,7.4500,32.50
329,8.7000,8.7000,2.089010,8.7000,22.50
330,7.1750,8.7000,3.036938,7.1750,27.50
331,7.4750,8.7000,2.590611,7.4750,22.50
332,7.8375,8.7000,2.360320,7.8375,20.00
333,6.9250,8.7000,3.250166,6.9250,32.50
334,7.7500,8.7000,3.575573,7.7500,22.50
335,7.5500,8.7000,2.702417,7.5500,27.50
336,6.5250,8.7000,5.229363,6.5250,35.00
337,7.1500,8.7000,4.277977,7.1500,40.00
338,6.2250,8.7000,4.571524,6.2250,37.50
339,7.0000,8.7000,3.685391,7.0000,40.00
340,6.9250,8.7000,3.665473,6.9250,45.00
341,6.5750,8.7000,4.326917,6.5750,42.50
342,7.3500,8.7000,2.117128,7.3500,42.50
343,6.5250,8.7000,4.830715,6.5250,40.00
344,5.9250,8.7000,5.656912,5.9250,50.00
345,5.5750,8.7000,2.935108,5.5750,47.50
346,5.7250,8.7000,3.723641,5.7250,55.00
347,6.4750,8.7000,5.130696,6.4750,40.00
348,5.0250,8.7000,4.281564,5.0250,55.00
349,6.1375,8.7000,3.169584,6.1375,47.50
350,5.9000,8.7000,4.641201,5.9000,47.50
351,6.3125,8.7000,4.915451,6.3125,35.00
352,6.5625,8.7000,3.630278,6.5625,35.00
353,7.1500,8.7000,4.809038,7.1500,40.00
354,7.3000,8.7000,3.684122,7.3000,35.00
355,7.0000,8.7000,5.046188,7.0000,40.00
356,7.2500,8.7000,4.131714,7.2500,30.00
357,7.4500,8.7000,2.415963,7.4500,32.50
358,7.1375,8.7000,5.085614,7.1375,37.50
359,8.1500,8.7000,4.654557,8.1500,30.00
360,7.5500,8.7000,3.359210,7.5500,35.00
361,7.7750,8.7000,3.473495,7.7750,32.50
362,8.0500,8.7000,2.840472,8.0500,25.00
363,8.5500,8.7000,2.432839,8.5500,15.00
364,8.5000,8.7000,2.834064,8.5000,25.00
365,8.6750,8.7000,2.217988,8.6750,15.00
366,8.1625,8.7000,0.980118,8.1625,17.50
367,8.3750,8.7000,1.238035,8.3750,20.00
368,8.2250,8.7000,2.055001,8.2250,22.50
369,7.9000,8.7000,3.135232,7.9000,17.50
370,8.3125,8.7000,2.053324,8.3125,7.50
371,7.8000,8.7000,1.824567,7.8000,20.00
372,8.7500,8.7500,0.893673,8.7500,15.00
373,8.6000,8.7500,4.373013,8.6000,15.00
374,8.0750,8.7500,3.507544,8.0750,20.00
375,8.4625,8.7500,2.745029,8.4625,17.50
376,8.4500,8.7500,1.592562,8.4500,12.50
377,8.2250,8.7500,4.196161,8.2250,17.50
378,8.6250,8.7500,3.190128,8.6250,20.00
379,8.4250,8.7500,0.560600,8.4250,20.00
380,7.9625,8.7500,3.459341,7.9625,20.00
381,7.9250,8.7500,2.443603,7.9250,20.00
382,8.6500,8.7500,2.867311,8.6500,22.50
383,8.5500,8.7500,2.164732,8.5500,10.00
384,8.5000,8.7500,1.616317,8.5000,15.00
385,9.1125,9.1125,1.791655,9.1125,17.50
386,8.0875,9.1125,2.717252,8.0875,22.50
387,8.6750,9.1125,2.260145,8.6750,15.00
388,8.3500,9.1125,2.803709,8.3500,20.00
389,7.5875,9.1125,1.050365,7.5875,20.00
390,8.3000,9.1125,2.838068,8.3000,17.50
391,8.0750,9.1125,3.793252,8.0750,20.00
392,8.3750,9.1125,3.378328,8.3750,35.00
393,8.3250,9.1125,3.274703,8.3250,27.50
394,8.6000,9.1125,5.068713,8.6000,25.00
395,8.4250,9.1125,3.796990,8.4250,27.50
396,8.7000,9.1125,3.815453,8.7000,25.00
397,8.1250,9.1125,3.589886,8.1250,37.50
398,8.7250,9.1125,5.111458,8.7250,17.50
399,8.3000,9.1125,2.648707,8.3000,25.00
400,8.5000,9.1125,2.818160,8.5000,25.00
401,8.5500,9.1125,2.332200,8.5500,30.00
402,8.0125,9.1125,3.498203,8.0125,27.50
403,8.3500,9.1125,1.826794,8.3500,22.50
404,8.6500,9.1125,5.208771,8.6500,22.50
405,8.6500,9.1125,3.010530,8.6500,22.50
406,7.6750,9.1125,2.190557,7.6750,25.00
407,8.3000,9.1125,1.638299,8.3000,25.00
408,8.5000,9.1125,2.698916,8.5000,27.50
409,8.8500,9.1125,4.491035,8.8500,17.50
410,8.4500,9.1125,3.684514,8.4500,22.50
411,8.5500,9.1125,1.426086,8.5500,27.50
412,8.7750,9.1125,3.501603,8.7750,27.50
413,8.6000,9.1125,1.859218,8.6000,20.00
414,8.7000,9.1125,2.632423,8.7000,25.00
415,8.7000,9.1125,2.266342,8.7000,25.00
416,8.6500,9.1125,4.420839,8.6500,12.50
417,8.7000,9.1125,1.327746,8.7000,27.50
418,9.1000,9.1125,3.937962,9.1000,17.50
419,8.7000,9.1125,1.941467,8.7000,27.50
420,9.0000,9.1125,3.236358,9.0000,17.50
421,8.8000,9.1125,4.341266,8.8000,22.50
422,8.7000,9.1125,1.753392,8.7000,27.50
423,8.5000,9.1125,1.705307,8.5000,27.50
424,8.6000,9.1125,2.809243,8.6000,17.50
425,8.3500,9.1125,3.926946,8.3500,20.00
426,8.0000,9.1125,1.930092,8.0000,25.00
427,8.2250,9.1125,3.500974,8.2250,35.00
428,8.7000,9.1125,4.395944,8.7000,25.00
429,8.5000,9.1125,2.445823,8.5000,32.50
430,8.6750,9.1125,3.944093,8.6750,25.00
431,8.2750,9.1125,3.249051,8.2750,27.50
432,8.5500,9.1125,3.424720,8.5500,25.00
433,8.6000,9.1125,2.504266,8.6000,27.50
434,9.3500,9.3500,2.188104,9.3500,25.00
435,8.8000,9.3500,4.801071,8.8000,20.00
436,8.9000,9.3500,3.590082,8.9000,27.50
437,8.3000,9.3500,3.358318,8.3000,27.50
438,8.5000,9.3500,1.975783,8.5000,30.00
439,8.7000,9.3500,2.239287,8.7000,30.00
440,8.6500,9.3500,2.722341,8.6500,27.50
441,8.1000,9.3500,2.544360,8.1000,27.50
442,8.7000,9.3500,2.568199,8.7000,32.50
443,8.5500,9.3500,3.374340,8.5500,32.50
444,8.8625,9.3500,3.702567,8.8625,25.00
445,8.5000,9.3500,1.698822,8.5000,30.00
446,9.0500,9.3500,2.529444,9.0500,20.00
447,8.5250,9.3500,1.897956,8.5250,30.00
448,8.9000,9.3500,2.659176,8.9000,22.50
449,9.0250,9.3500,2.927791,9.0250,25.00
450,8.7000,9.3500,2.461054,8.7000,25.00
451,8.6875,9.3500,1.585356,8.6875,27.50
452,8.6250,9.3500,2.877522,8.6250,30.00
453,8.6250,9.3500,1.981037,8.6250,27.50
454,8.9000,9.3500,3.142424,8.9000,25.00
455,8.8750,9.3500,2.432597,8.8750,30.00
456,8.8500,9.3500,1.867103,8.8500,30.00
457,8.8500,9.3500,2.280911,8.8500,30.00
458,9.0500,9.3500,3.450342,9.0500,27.50
459,8.7500,9.3500,4.046159,8.7500,30.00
460,8.8500,9.3500,3.360131,8.8500,25.00
461,8.9000,9.3500,1.965781,8.9000,30.00
462,9.1000,9.3500,2.639594,9.1000,27.50
463,9.2500,9.3500,3.797059,9.2500,25.00
464,9.1500,9.3500,3.739856,9.1500,22.50
465,8.4500,9.3500,1.726058,8.4500,37.50
466,8.8000,9.3500,1.140251,8.8000,35.00
467,9.1500,9.3500,3.599240,9.1500,22.50
468,8.6250,9.3500,2.847328,8.6250,27.50
469,8.8000,9.3500,3.918589,8.8000,22.50
470,8.4250,9.3500,2.116090,8.4250,27.50
471,8.8000,9.3500,2.382368,8.8000,27.50
472,9.0500,9.3500,2.872372,9.0500,25.00
473,8.8000,9.3500,1.808501,8.8000,27.50
474,8.8500,9.3500,3.319055,8.8500,25.00
475,8.9500,9.3500,1.933006,8.9500,30.00
476,9.0000,9.3500,1.695401,9.0000,27.50
477,9.0000,9.3500,2.353839,9.0000,30.00
478,8.7000,9.3500,1.341571,8.7000,25.00
479,9.1000,9.3500,3.468874,9.1000,20.00
480,8.7500,9.3500,1.273183,8.7500,37.50
481,8.8500,9.3500,2.031764,8.8500,22.50
482,8.5500,9.3500,0.371603,8.5500,37.50
483,8.8000,9.3500,1.578269,8.8000,35.00
484,8.7000,9.3500,2.879992,8.7000,25.00
485,9.1000,9.3500,1.217182,9.1000,25.00
486,8.6000,9.3500,2.650218,8.6000,32.50
487,9.0000,9.3500,2.572751,9.0000,30.00
488,8.7500,9.3500,2.336173,8.7500,27.50
489,8.7000,9.3500,2.358476,8.7000,17.50
490,8.9250,9.3500,1.869274,8.9250,22.50
491,8.7500,9.3500,2.590688,8.7500,22.50
